"","scenario_run","run","total","wane"
"279","run6",40,1741.47456068044,"No waning"
"280","run7",40,1156.30240330016,"No waning"
"281","run1",41,2814.29478495691,"No waning"
"282","run2",41,2798.24424152784,"No waning"
"283","run3",41,2771.27897436098,"No waning"
"284","run4",41,2770.49904255402,"No waning"
"285","run5",41,622.080971608703,"No waning"
"286","run6",41,1355.37354708927,"No waning"
"287","run7",41,418.551985794907,"No waning"
"288","run1",42,2519.07997141267,"No waning"
"289","run2",42,2513.65425520119,"No waning"
"290","run3",42,2499.95037474744,"No waning"
"291","run4",42,2496.35586159588,"No waning"
"292","run5",42,1392.05791107098,"No waning"
"293","run6",42,1885.07637802061,"No waning"
"294","run7",42,1357.24229358909,"No waning"
"295","run1",43,1707.12191499575,"No waning"
"296","run2",43,1695.93628550082,"No waning"
"297","run3",43,1685.43097056102,"No waning"
"298","run4",43,1683.93602345041,"No waning"
"299","run5",43,934.74583975091,"No waning"
"300","run6",43,1293.59177018651,"No waning"
"301","run7",43,873.830165405804,"No waning"
"302","run1",44,1437.5334247767,"No waning"
"303","run2",44,1419.52553001862,"No waning"
"304","run3",44,1365.66575687665,"No waning"
"305","run4",44,1364.83073157818,"No waning"
"306","run5",44,515.573321151406,"No waning"
"307","run6",44,789.455418408302,"No waning"
"308","run7",44,303.742700319766,"No waning"
"309","run1",45,1554.8739406048,"No waning"
"310","run2",45,1546.13807926504,"No waning"
"311","run3",45,1520.73803650849,"No waning"
"312","run4",45,1517.87097056179,"No waning"
"313","run5",45,996.400539001608,"No waning"
"314","run6",45,1045.81433105457,"No waning"
"315","run7",45,906.037240654174,"No waning"
"316","run1",46,2542.97628768481,"No waning"
"317","run2",46,2532.75560951328,"No waning"
"318","run3",46,2529.02557065047,"No waning"
"319","run4",46,2528.17536582818,"No waning"
"320","run5",46,1375.98937250787,"No waning"
"321","run6",46,1988.58434889974,"No waning"
"322","run7",46,1345.49220726133,"No waning"
"323","run1",47,1901.10150170276,"No waning"
"324","run2",47,1895.27269523783,"No waning"
"325","run3",47,1883.97399287646,"No waning"
"326","run4",47,1882.13920585108,"No waning"
"327","run5",47,1139.89061215893,"No waning"
"328","run6",47,1528.59393015804,"No waning"
"329","run7",47,1101.27517239005,"No waning"
"330","run1",48,1197.78839056636,"No waning"
"331","run2",48,1183.95631761669,"No waning"
"332","run3",48,1150.86055071643,"No waning"
"333","run4",48,1147.37678965185,"No waning"
"334","run5",48,486.419773707553,"No waning"
"335","run6",48,840.396493723418,"No waning"
"336","run7",48,320.253123187116,"No waning"
"337","run1",49,2584.1540647584,"No waning"
"338","run2",49,2567.8815329149,"No waning"
"339","run3",49,2542.99438783829,"No waning"
"340","run4",49,2541.53883031761,"No waning"
"341","run5",49,685.841987672676,"No waning"
"342","run6",49,1732.32597454285,"No waning"
"343","run7",49,515.413240732562,"No waning"
"344","run1",50,2111.66303107748,"No waning"
"345","run2",50,2092.43625703506,"No waning"
"346","run3",50,2037.0444435159,"No waning"
"347","run4",50,2038.29763801427,"No waning"
"348","run5",50,480.472315726783,"No waning"
"349","run6",50,1098.98498216012,"No waning"
"350","run7",50,214.621416144899,"No waning"
"351","run1",51,2509.48031194258,"No waning"
"352","run2",51,2507.2170742881,"No waning"
"353","run3",51,2497.58119423166,"No waning"
"354","run4",51,2495.94956975193,"No waning"
"355","run5",51,1925.74030118355,"No waning"
"356","run6",51,1802.15551064958,"No waning"
"357","run7",51,1890.03913085708,"No waning"
"358","run1",52,3036.17030988672,"No waning"
"359","run2",52,3022.49113421315,"No waning"
"360","run3",52,3010.35914955229,"No waning"
"361","run4",52,3006.83525079167,"No waning"
"362","run5",52,1071.74937708553,"No waning"
"363","run6",52,1846.74740267945,"No waning"
"364","run7",52,1011.74817306741,"No waning"
"365","run1",53,2027.69820609994,"No waning"
"366","run2",53,2012.61255645878,"No waning"
"367","run3",53,1983.40283253049,"No waning"
"368","run4",53,1977.8326101866,"No waning"
"369","run5",53,490.823313077587,"No waning"
"370","run6",53,1197.96838681939,"No waning"
"371","run7",53,312.873959662614,"No waning"
"372","run1",54,2129.36039394865,"No waning"
"373","run2",54,2114.36528609919,"No waning"
"374","run3",54,2084.65086274074,"No waning"
"375","run4",54,2081.12404016772,"No waning"
"376","run5",54,628.111717021476,"No waning"
"377","run6",54,1413.27862916866,"No waning"
"378","run7",54,486.165407713071,"No waning"
"379","run1",55,3610.35395275613,"No waning"
"380","run2",55,3604.80457971297,"No waning"
"381","run3",55,3594.47832758844,"No waning"
"382","run4",55,3590.48293581385,"No waning"
"383","run5",55,2292.45682724879,"No waning"
"384","run6",55,2837.02419060032,"No waning"
"385","run7",55,2262.04970610157,"No waning"
"386","run1",56,2054.45411779708,"No waning"
"387","run2",56,2047.43755428615,"No waning"
"388","run3",56,2038.59400857252,"No waning"
"389","run4",56,2037.70915689262,"No waning"
"390","run5",56,1119.20385804818,"No waning"
"391","run6",56,1187.63639151416,"No waning"
"392","run7",56,1076.30642845194,"No waning"
"393","run1",57,2481.11016122028,"No waning"
"394","run2",57,2467.39619990084,"No waning"
"395","run3",57,2448.34833630366,"No waning"
"396","run4",57,2445.65363270387,"No waning"
"397","run5",57,871.550206036488,"No waning"
"398","run6",57,1628.94491905329,"No waning"
"399","run7",57,783.205777230969,"No waning"
"400","run1",58,1940.63199672266,"No waning"
"401","run2",58,1924.23493878483,"No waning"
"402","run3",58,1874.64020292211,"No waning"
"403","run4",58,1878.84733786964,"No waning"
"404","run5",58,533.466917503483,"No waning"
"405","run6",58,919.603520353022,"No waning"
"406","run7",58,265.842217943648,"No waning"
"407","run1",59,2056.75884676668,"No waning"
"408","run2",59,2045.70891409374,"No waning"
"409","run3",59,2032.14079394864,"No waning"
"410","run4",59,2028.502501016,"No waning"
"411","run5",59,412.596866181518,"No waning"
"412","run6",59,1395.34419473961,"No waning"
"413","run7",59,243.177107436671,"No waning"
"414","run1",60,2395.5723191215,"No waning"
"415","run2",60,2388.43473833006,"No waning"
"416","run3",60,2381.37797459372,"No waning"
"417","run4",60,2378.92586944472,"No waning"
"418","run5",60,1340.87586547879,"No waning"
"419","run6",60,1561.127075213,"No waning"
"420","run7",60,1313.35922240414,"No waning"
"421","run1",61,1967.51029453785,"No waning"
"422","run2",61,1953.40046005237,"No waning"
"423","run3",61,1928.06960493502,"No waning"
"424","run4",61,1924.85789450346,"No waning"
"425","run5",61,792.69490661181,"No waning"
"426","run6",61,1544.09004888562,"No waning"
"427","run7",61,690.856924218986,"No waning"
"428","run1",62,2596.5354373724,"No waning"
"429","run2",62,2578.26271852459,"No waning"
"430","run3",62,2550.68602984482,"No waning"
"431","run4",62,2552.0444453308,"No waning"
