"","scenario_run","run","total","wane"
"227","run3",33,5622.03805811088,"Waning"
"228","run4",33,5624.39140073318,"Waning"
"229","run5",33,4266.40584198158,"Waning"
"230","run6",33,4695.09779923267,"Waning"
"231","run7",33,4223.57589176522,"Waning"
"232","run1",34,4891.11252955928,"Waning"
"233","run2",34,4884.08117011661,"Waning"
"234","run3",34,4859.05068257096,"Waning"
"235","run4",34,4860.88742785085,"Waning"
"236","run5",34,3502.04914227029,"Waning"
"237","run6",34,4025.58431894156,"Waning"
"238","run7",34,3454.10129563969,"Waning"
"239","run1",35,5169.20769788995,"Waning"
"240","run2",35,5162.78720617777,"Waning"
"241","run3",35,5137.18498548334,"Waning"
"242","run4",35,5139.3508589499,"Waning"
"243","run5",35,3980.6287833645,"Waning"
"244","run6",35,4394.43686906828,"Waning"
"245","run7",35,3934.24924726851,"Waning"
"246","run1",36,6236.79799986074,"Waning"
"247","run2",36,6232.75512033969,"Waning"
"248","run3",36,6218.1043345804,"Waning"
"249","run4",36,6219.31745004642,"Waning"
"250","run5",36,5186.16918732917,"Waning"
"251","run6",36,5610.57123602008,"Waning"
"252","run7",36,5157.96763380096,"Waning"
"253","run1",37,5083.11464623791,"Waning"
"254","run2",37,5078.56575630209,"Waning"
"255","run3",37,5060.96631860605,"Waning"
"256","run4",37,5061.84352156457,"Waning"
"257","run5",37,4030.43597652248,"Waning"
"258","run6",37,4367.56405281637,"Waning"
"259","run7",37,3996.84328096463,"Waning"
"260","run1",38,5074.88404348235,"Waning"
"261","run2",38,5068.37760026164,"Waning"
"262","run3",38,5041.53141414339,"Waning"
"263","run4",38,5044.61334277078,"Waning"
"264","run5",38,4101.14984745865,"Waning"
"265","run6",38,4217.79735745196,"Waning"
"266","run7",38,4052.05915958599,"Waning"
"267","run1",39,4705.96461673095,"Waning"
"268","run2",39,4701.54078406048,"Waning"
"269","run3",39,4683.62173532425,"Waning"
"270","run4",39,4684.6029191375,"Waning"
"271","run5",39,3884.8061810644,"Waning"
"272","run6",39,3981.23554544868,"Waning"
"273","run7",39,3850.34633661584,"Waning"
"274","run1",40,5561.08824442773,"Waning"
"275","run2",40,5558.44363124939,"Waning"
"276","run3",40,5549.5156082142,"Waning"
"277","run4",40,5550.18750571279,"Waning"
"278","run5",40,4879.8373336215,"Waning"
"279","run6",40,5019.9033622768,"Waning"
"280","run7",40,4861.36465197637,"Waning"
"281","run1",41,5982.4001862823,"Waning"
"282","run2",41,5975.83354223609,"Waning"
"283","run3",41,5947.16814680945,"Waning"
"284","run4",41,5949.47696908533,"Waning"
"285","run5",41,4067.44615360396,"Waning"
"286","run6",41,4687.43010365585,"Waning"
"287","run7",41,4014.5945483837,"Waning"
"288","run1",42,5861.53446248741,"Waning"
"289","run2",42,5858.89637785659,"Waning"
"290","run3",42,5848.47582015576,"Waning"
"291","run4",42,5849.01206447638,"Waning"
"292","run5",42,5001.5889167328,"Waning"
"293","run6",42,5103.71075882293,"Waning"
"294","run7",42,4979.11820004689,"Waning"
"295","run1",43,5042.55133195923,"Waning"
"296","run2",43,5038.74097823114,"Waning"
"297","run3",43,5024.88077283056,"Waning"
"298","run4",43,5026.33627701912,"Waning"
"299","run5",43,4512.21066332172,"Waning"
"300","run6",43,4555.61738972476,"Waning"
"301","run7",43,4485.12886174029,"Waning"
"302","run1",44,4547.2877335413,"Waning"
"303","run2",44,4540.36863247459,"Waning"
"304","run3",44,4510.9658504367,"Waning"
"305","run4",44,4514.02342438726,"Waning"
"306","run5",44,3736.38424523657,"Waning"
"307","run6",44,3758.62562173663,"Waning"
"308","run7",44,3683.56103669757,"Waning"
"309","run1",45,4787.7506772118,"Waning"
"310","run2",45,4783.96386301699,"Waning"
"311","run3",45,4768.80303519278,"Waning"
"312","run4",45,4769.97275041003,"Waning"
"313","run5",45,4368.29309260418,"Waning"
"314","run6",45,4400.82274855519,"Waning"
"315","run7",45,4334.92262747221,"Waning"
"316","run1",46,5867.77854652766,"Waning"
"317","run2",46,5864.19740708833,"Waning"
"318","run3",46,5852.25889910826,"Waning"
"319","run4",46,5853.57788675918,"Waning"
"320","run5",46,5042.38728483578,"Waning"
"321","run6",46,5236.29242939776,"Waning"
"322","run7",46,5017.97768408311,"Waning"
"323","run1",47,5308.85780356819,"Waning"
"324","run2",47,5306.11839174201,"Waning"
"325","run3",47,5295.66895007671,"Waning"
"326","run4",47,5296.58078752434,"Waning"
"327","run5",47,4779.60940070808,"Waning"
"328","run6",47,4847.05852079476,"Waning"
"329","run7",47,4758.58605710577,"Waning"
"330","run1",48,4386.02758989314,"Waning"
"331","run2",48,4381.38046135805,"Waning"
"332","run3",48,4364.62187351837,"Waning"
"333","run4",48,4365.84008561983,"Waning"
"334","run5",48,3880.48633441822,"Waning"
"335","run6",48,3911.12935804176,"Waning"
"336","run7",48,3847.15248336992,"Waning"
"337","run1",49,5791.81024825103,"Waning"
"338","run2",49,5785.36736272255,"Waning"
"339","run3",49,5760.73372934553,"Waning"
"340","run4",49,5763.31200052503,"Waning"
"341","run5",49,4299.58156322592,"Waning"
"342","run6",49,4862.19554632954,"Waning"
"343","run7",49,4252.77485875193,"Waning"
"344","run1",50,5196.66377158238,"Waning"
"345","run2",50,5188.02487264047,"Waning"
"346","run3",50,5152.3273220023,"Waning"
"347","run4",50,5155.76274762096,"Waning"
"348","run5",50,3648.29578775476,"Waning"
"349","run6",50,4173.85448590034,"Waning"
"350","run7",50,3585.85094883185,"Waning"
"351","run1",51,5873.18364939996,"Waning"
"352","run2",51,5871.77581403501,"Waning"
"353","run3",51,5864.67874440795,"Waning"
"354","run4",51,5865.2101966501,"Waning"
"355","run5",51,5414.6702640052,"Waning"
"356","run6",51,5461.02174599756,"Waning"
"357","run7",51,5395.10425435715,"Waning"
"358","run1",52,6254.90492257121,"Waning"
"359","run2",52,6250.43946156827,"Waning"
"360","run3",52,6233.68627959513,"Waning"
"361","run4",52,6234.84130818421,"Waning"
"362","run5",52,4694.70127372509,"Waning"
"363","run6",52,5091.7710069289,"Waning"
"364","run7",52,4660.60223828476,"Waning"
"365","run1",53,5257.84723160727,"Waning"
"366","run2",53,5252.69411293897,"Waning"
"367","run3",53,5231.54281940932,"Waning"
"368","run4",53,5232.46152763045,"Waning"
"369","run5",53,3996.75564021359,"Waning"
"370","run6",53,4364.92440045812,"Waning"
"371","run7",53,3957.2728380635,"Waning"
"372","run1",54,5366.86821758398,"Waning"
"373","run2",54,5361.3547217392,"Waning"
"374","run3",54,5340.34447499296,"Waning"
"375","run4",54,5341.66940172251,"Waning"
"376","run5",54,4197.04640447168,"Waning"
"377","run6",54,4557.41563041605,"Waning"
"378","run7",54,4157.29670069054,"Waning"
"379","run1",55,7068.9768244792,"Waning"
"380","run2",55,7067.10508190394,"Waning"
"381","run3",55,7059.38065430452,"Waning"
"382","run4",55,7059.54546448532,"Waning"
"383","run5",55,6026.81412782618,"Waning"
"384","run6",55,6263.0285984104,"Waning"
"385","run7",55,6009.35796875549,"Waning"
"386","run1",56,5140.05884778519,"Waning"
"387","run2",56,5137.25840398482,"Waning"
"388","run3",56,5125.94114770145,"Waning"
"389","run4",56,5126.56686973344,"Waning"
"390","run5",56,4423.39687580952,"Waning"
"391","run6",56,4391.88002841336,"Waning"
"392","run7",56,4397.62571787951,"Waning"
