"","scenario_run","run","vacc.count"
"446","run5",46,2960.94711872895
"447","run5",47,1985.77106546257
"448","run5",48,3220.94089042946
"449","run5",49,3491.2766988832
"450","run5",50,2313.57188118099
"451","run5",51,2465.82404305211
"452","run5",52,2864.48224350145
"453","run5",53,2047.62484038728
"454","run5",54,2823.82417405969
"455","run5",55,4535.5780734562
"456","run5",56,2283.72640256608
"457","run5",57,2581.54710563531
"458","run5",58,2983.77099453198
"459","run5",59,3271.3118652749
"460","run5",60,2182.95232445193
"461","run5",61,4720.14823127007
"462","run5",62,1213.06292025475
"463","run5",63,3008.18953514686
"464","run5",64,3067.41100273435
"465","run5",65,3443.11710740386
"466","run5",66,2926.14651502898
"467","run5",67,3207.09717574156
"468","run5",68,4040.18835482868
"469","run5",69,3562.69774631511
"470","run5",70,2680.40537342004
"471","run5",71,2617.43152605306
"472","run5",72,3068.68938597219
"473","run5",73,2289.0795854964
"474","run5",74,3420.53904449455
"475","run5",75,2090.95428549631
"476","run5",76,3229.81054987683
"477","run5",77,1924.55246104242
"478","run5",78,2223.94525092929
"479","run5",79,4026.0557595484
"480","run5",80,2290.71956360164
"481","run5",81,1944.37555549761
"482","run5",82,2051.20308158933
"483","run5",83,1562.35662547553
"484","run5",84,2635.09862012884
"485","run5",85,1854.24190993857
"486","run5",86,2642.91853380475
"487","run5",87,2081.53265145921
"488","run5",88,3031.16549880649
"489","run5",89,2141.80906065217
"490","run5",90,3278.28912814546
"491","run5",91,1895.90086742223
"492","run5",92,1995.53384234021
"493","run5",93,2436.5738436784
"494","run5",94,2529.47491369174
"495","run5",95,2501.24081904946
"496","run5",96,1887.82264990563
"497","run5",97,3283.89248380624
"498","run5",98,4261.7426057673
"499","run5",99,3426.82805711413
"500","run5",100,3252.54237692857
"501","run6",1,664.462153650327
"502","run6",2,516.890001793066
"503","run6",3,552.826650451326
"504","run6",4,697.902051835754
"505","run6",5,705.991694292957
"506","run6",6,523.866880868805
"507","run6",7,565.736469099427
"508","run6",8,560.788531985623
"509","run6",9,694.441534915758
"510","run6",10,664.139610403804
"511","run6",11,686.199358651699
"512","run6",12,548.467423003385
"513","run6",13,547.972062159989
"514","run6",14,609.913738638481
"515","run6",15,785.379369313108
"516","run6",16,815.251040447518
"517","run6",17,581.569501124627
"518","run6",18,738.685345562407
"519","run6",19,552.623855310222
"520","run6",20,437.69700366422
"521","run6",21,740.999534184174
"522","run6",22,508.838075708528
"523","run6",23,829.533770592949
"524","run6",24,522.919121535501
"525","run6",25,661.479240572186
"526","run6",26,594.764759706201
"527","run6",27,789.860937867514
"528","run6",28,582.723335451136
"529","run6",29,549.371798477924
"530","run6",30,677.236165095806
"531","run6",31,556.454464733007
"532","run6",32,667.772436005931
"533","run6",33,713.930847631064
"534","run6",34,711.997295464745
"535","run6",35,714.315560767904
"536","run6",36,612.863204753422
"537","run6",37,702.774762406504
"538","run6",38,667.800981647469
"539","run6",39,836.041783346451
"540","run6",40,688.09561729045
"541","run6",41,733.552104819042
"542","run6",42,535.10632671963
"543","run6",43,607.127439962949
"544","run6",44,745.096754572231
"545","run6",45,572.786827928548
"546","run6",46,589.760497895831
"547","run6",47,486.442490502548
"548","run6",48,678.921100093254
"549","run6",49,641.967969267181
"550","run6",50,599.524278139136
"551","run6",51,551.458767651932
"552","run6",52,615.57687940513
"553","run6",53,571.22853937934
"554","run6",54,569.990416924666
"555","run6",55,900.278155938263
"556","run6",56,499.41150802725
"557","run6",57,642.818918908267
"558","run6",58,595.92283349533
"559","run6",59,685.90588625671
"560","run6",60,606.709074041192
"561","run6",61,1098.10095208096
"562","run6",62,405.776022245721
"563","run6",63,694.041074930518
"564","run6",64,679.65781824557
"565","run6",65,778.213443950651
