"","scenario_run","run","vacc.count"
"338","run4",38,254.815789697485
"339","run4",39,155.769580650825
"340","run4",40,327.211849272566
"341","run4",41,193.675111334832
"342","run4",42,335.027478468801
"343","run4",43,187.351829560136
"344","run4",44,266.964846621385
"345","run4",45,235.965704427292
"346","run4",46,337.06469389323
"347","run4",47,328.063684343191
"348","run4",48,257.336384462353
"349","run4",49,216.894602006046
"350","run4",50,226.362077331124
"351","run4",51,307.484009116262
"352","run4",52,167.102233906342
"353","run4",53,315.407006327321
"354","run4",54,247.884578665651
"355","run4",55,151.965870701336
"356","run4",56,309.824236201534
"357","run4",57,252.813227823756
"358","run4",58,119.254283128207
"359","run4",59,295.347907553427
"360","run4",60,276.696768725835
"361","run4",61,306.938012779957
"362","run4",62,282.517821269316
"363","run4",63,285.689621489951
"364","run4",64,276.288055736833
"365","run4",65,373.67986758397
"366","run4",66,241.389919236493
"367","run4",67,236.422226333468
"368","run4",68,342.033831795388
"369","run4",69,228.826860350669
"370","run4",70,233.423087929894
"371","run4",71,313.547418518671
"372","run4",72,163.867789710658
"373","run4",73,313.030464581728
"374","run4",74,291.845735059549
"375","run4",75,348.427569355579
"376","run4",76,354.440283796602
"377","run4",77,230.85482573193
"378","run4",78,363.496896626791
"379","run4",79,248.204524422728
"380","run4",80,321.052231154317
"381","run4",81,301.604693096534
"382","run4",82,226.493414974933
"383","run4",83,335.779985184565
"384","run4",84,272.227719856009
"385","run4",85,200.029552054481
"386","run4",86,182.365499948791
"387","run4",87,268.790458270201
"388","run4",88,183.383390103116
"389","run4",89,195.687586213313
"390","run4",90,288.80264600043
"391","run4",91,245.965564130524
"392","run4",92,240.028193102015
"393","run4",93,142.928169897221
"394","run4",94,287.55385144188
"395","run4",95,293.675808878748
"396","run4",96,186.456538076707
"397","run4",97,266.669182140719
"398","run4",98,255.921898257034
"399","run4",99,363.185173699542
"400","run4",100,127.588530656539
"401","run5",1,2255.16055016279
"402","run5",2,3216.07271092487
"403","run5",3,2627.96163537719
"404","run5",4,2804.15047131059
"405","run5",5,2911.13075442989
"406","run5",6,2253.16641108354
"407","run5",7,2785.38566355486
"408","run5",8,2618.78103199841
"409","run5",9,2190.9320409588
"410","run5",10,2701.90097764495
"411","run5",11,4006.15937122192
"412","run5",12,4303.46599009575
"413","run5",13,2770.03298548108
"414","run5",14,2449.89908042828
"415","run5",15,2794.66894888523
"416","run5",16,2156.03484943016
"417","run5",17,3302.09927569479
"418","run5",18,2619.17298654438
"419","run5",19,2913.39277539135
"420","run5",20,2848.77867732785
"421","run5",21,2874.4991210178
"422","run5",22,2880.7705942244
"423","run5",23,3317.84336806854
"424","run5",24,2681.08691120734
"425","run5",25,2382.81237049883
"426","run5",26,2357.42077071869
"427","run5",27,1933.60610053721
"428","run5",28,2354.97127842816
"429","run5",29,1417.37040352526
"430","run5",30,1674.85143883557
"431","run5",31,2365.44202871926
"432","run5",32,4243.93057232723
"433","run5",33,1747.53270399019
"434","run5",34,3448.06721109949
"435","run5",35,1473.70906054868
"436","run5",36,2560.68437544035
"437","run5",37,3160.09201513408
"438","run5",38,2030.9105970536
"439","run5",39,1759.62782697568
"440","run5",40,3712.1788199707
"441","run5",41,1860.76819088069
"442","run5",42,3845.87099611172
"443","run5",43,2424.80070226284
"444","run5",44,3228.73853627211
"445","run5",45,2461.1828590465
"446","run5",46,5113.30573830186
"447","run5",47,3325.35427785627
"448","run5",48,3634.20416958525
"449","run5",49,2367.67866138727
"450","run5",50,2167.51670252335
"451","run5",51,3630.71762366139
"452","run5",52,2088.15641378776
"453","run5",53,2631.96727112805
"454","run5",54,2766.55552924578
"455","run5",55,1498.56697342828
"456","run5",56,3665.09671809522
"457","run5",57,3088.85448897992
"458","run5",58,1475.80055242566
"459","run5",59,2000.77311908246
"460","run5",60,2806.51658601682
"461","run5",61,2329.39178177168
"462","run5",62,3039.67836961161
"463","run5",63,3694.9589424478
"464","run5",64,2986.08280803136
"465","run5",65,2981.52237015076
"466","run5",66,2914.70150939864
"467","run5",67,2617.40454087397
"468","run5",68,3300.7531551887
"469","run5",69,2123.94813303725
"470","run5",70,2138.41183975566
"471","run5",71,3781.09063879013
"472","run5",72,2422.8836737662
"473","run5",73,2806.12162898696
"474","run5",74,3195.08900694227
"475","run5",75,4612.25919501921
"476","run5",76,3793.16204481035
"477","run5",77,2322.94878221329
"478","run5",78,2946.23196419064
"479","run5",79,2103.24128471729
"480","run5",80,3859.99300584701
"481","run5",81,2802.27367713873
"482","run5",82,2388.71939436637
"483","run5",83,2411.89970509175
"484","run5",84,2543.71495971537
"485","run5",85,2495.24740395203
"486","run5",86,2263.97832801579
"487","run5",87,2741.47387476405
"488","run5",88,1918.76560438508
"489","run5",89,1879.42720077312
"490","run5",90,3808.40912119282
"491","run5",91,2640.51633133976
"492","run5",92,2561.93986571698
"493","run5",93,2264.47639984308
"494","run5",94,3653.95312792004
"495","run5",95,2930.09249058403
"496","run5",96,2156.759167978
"497","run5",97,3244.45136608747
"498","run5",98,3545.41104055813
"499","run5",99,2815.76906125799
"500","run5",100,1777.494447901
"501","run6",1,511.795189378245
"502","run6",2,619.557745337153
"503","run6",3,653.630031151211
"504","run6",4,601.84385412961
"505","run6",5,623.203451125093
"506","run6",6,625.477849848499
"507","run6",7,610.03366924564
"508","run6",8,542.559006168245
"509","run6",9,523.919545437813
"510","run6",10,609.006239788194
"511","run6",11,985.015455514726
"512","run6",12,772.55495332267
"513","run6",13,638.522965061482
"514","run6",14,701.510368038533
"515","run6",15,743.327353362838
"516","run6",16,570.913633506766
"517","run6",17,863.061287796349
"518","run6",18,643.64802113419
"519","run6",19,661.805016631401
"520","run6",20,578.715474640808
"521","run6",21,611.417854095103
"522","run6",22,609.82621188176
"523","run6",23,762.167933259264
"524","run6",24,656.688959224657
"525","run6",25,505.067127082877
"526","run6",26,548.253486781232
"527","run6",27,464.534280705745
"528","run6",28,681.629554981955
"529","run6",29,518.357830583392
"530","run6",30,584.286769859094
"531","run6",31,485.438851851746
"532","run6",32,791.817168106868
"533","run6",33,477.918426601305
"534","run6",34,833.06581257378
"535","run6",35,410.167628846549
"536","run6",36,833.148375305049
"537","run6",37,617.65203216245
"538","run6",38,520.016098477911
"539","run6",39,563.684844562192
"540","run6",40,740.901239214215
"541","run6",41,514.172140349635
"542","run6",42,691.628524548752
"543","run6",43,697.058128284638
"544","run6",44,697.681548125273
"545","run6",45,633.754422981422
"546","run6",46,928.019311090628
"547","run6",47,625.741480491707
"548","run6",48,768.986603750273
"549","run6",49,623.104671738286
